pedido_id,data_pedido,cliente_nome,cliente_email,produto_nome,produto_categoria,quantidade,preco_unitario,total_pago,status_pedido
1000,2023/05/16,Ana Vitória Aragão,oferreira@bol.com.br,Voluptatem 78Ah,iluminacao,5,949.41,4747.05,em transporte
1001,2022/07/03,Leandro Silva,moreiraevelyn@uol.com.br,Iste 57Ah,Freio,3,301.59,904.77,pendenti
1002,2023/03/07,Thiago da Paz,gferreira@yahoo.com.br,Temporibus 57mm,Motor,1,680.95,680.95,pendenti
1003,2024/04/26,Otávio Melo,igormartins@da.net,Ut 64W50,lubrificantes,5,174.27,871.35,pendenti
1004,2022/11/30,Dr. Fernando da Mata,da-cruzluiz-henrique@moraes.net,Reiciendis 11mm,Lubrificantes,3,808.46,2425.38,pendente
1005,2023/11/29,Maria Sophia Sales,dcostela@almeida.net,Labore 18mm,lubrificantes,3,242.05,726.15,pendenti
1006,2022/08/02,Maitê Duarte,lgomes@bol.com.br,Sit 23Ah,lubrificantes,4,727.47,2909.88,cançelado
1007,2024/09/14,Ana Carolina Aragão,thiago83@teixeira.org,Explicabo 90W50,freio,4,453.81,1815.24,entregue
1008,2024/07/22,Isabelly Pinto,heloisaviana@bol.com.br,Animi 60Ah,freio,2,633.78,1267.56,em transporte
1009,,Miguel Dias,camposlivia@gmail.com,Magni 46mm,Lubrificantes,3,121.14,363.42,em transporte
1010,2023/01/28,João Felipe Novaes,davi-lucca13,Nobis 30Ah,Suspensão,3,842.67,2528.01,pendenti
1011,2022/07/02,Evelyn Nogueira,das-nevesenrico@uol.com.br,Numquam 100Ah,Iluminação,1,628.14,628.14,pendenti
1012,2024/04/25,Anthony Cavalcanti,davi-lucca22,Ipsam 30Ah,freio,5,393.7,1968.5,cancelado
1013,2025/01/29,Olivia Moreira,maraujo@melo.com,Odit 40mm,motr,1,738.31,738.31,pendenti
1014,2023/06/05,Dr. Nicolas Moreira,ubarros@uol.com.br,Sunt 32mm,iluminacao,1,289.64,289.64,pendente
1015,2024/09/03,Daniel Cardoso,santoslarissa@moura.br,Repellat 11Ah,eletrico,3,431.53,1294.59,pendenti
1016,2023/08/07,Laura Vieira,pietra44@lima.br,Illo 42Ah,iluminacao,4,242.35,969.4,cançelado
1017,2023/03/12,Ian Moreira,rochaalexandre@porto.br,Alias 33W50,freio,4,488.5,1954.0,cançelado
